"tx size","size fee (IOV)","price increase compared to anti spam"
292352,169.7440,340.4880
292608,170.0425,341.0849
292864,170.3412,341.6823
293120,170.6401,342.2803
293376,170.9394,342.8788
293632,171.2389,343.4778
293888,171.5386,344.0773
294144,171.8387,344.6773
294400,172.1390,345.2779
294656,172.4395,345.8790
294912,172.7403,346.4806
295168,173.0414,347.0828
295424,173.3427,347.6854
295680,173.6443,348.2886
295936,173.9462,348.8924
296192,174.2483,349.4966
296448,174.5507,350.1014
296704,174.8533,350.7066
296960,175.1562,351.3125
297216,175.4594,351.9188
297472,175.7628,352.5257
297728,176.0665,353.1331
297984,176.3705,353.7410
298240,176.6747,354.3494
298496,176.9792,354.9584
298752,177.2839,355.5678
299008,177.5889,356.1779
299264,177.8942,356.7884
299520,178.1997,357.3994
299776,178.5055,358.0110
300032,178.8116,358.6231
300288,179.1179,359.2358
300544,179.4245,359.8489
300800,179.7313,360.4626
301056,180.0384,361.0768
301312,180.3458,361.6915
301568,180.6534,362.3068
301824,180.9613,362.9226
302080,181.2694,363.5389
302336,181.5778,364.1557
302592,181.8865,364.7730
302848,182.1955,365.3909
303104,182.5047,366.0093
303360,182.8141,366.6282
303616,183.1238,367.2477
303872,183.4338,367.8676
304128,183.7441,368.4881
304384,184.0546,369.1092
304640,184.3654,369.7307
304896,184.6764,370.3528
305152,184.9877,370.9754
305408,185.2992,371.5985
305664,185.6111,372.2221
305920,185.9231,372.8463
306176,186.2355,373.4710
306432,186.5481,374.0962
306688,186.8610,374.7219
306944,187.1741,375.3482
307200,187.4875,375.9750
307456,187.8011,376.6023
307712,188.1151,377.2301
307968,188.4292,377.8585
308224,188.7437,378.4874
308480,189.0584,379.1168
308736,189.3733,379.7467
308992,189.6886,380.3772
309248,190.0041,381.0081
309504,190.3198,381.6396
309760,190.6358,382.2717
310016,190.9521,382.9042
310272,191.2687,383.5373
310528,191.5855,384.1709
310784,191.9025,384.8050
311040,192.2198,385.4397
311296,192.5374,386.0749
311552,192.8553,386.7106
311808,193.1734,387.3468
312064,193.4918,387.9835
312320,193.8104,388.6208
312576,194.1293,389.2586
312832,194.4485,389.8969
313088,194.7679,390.5358
313344,195.0876,391.1751
313600,195.4075,391.8150
313856,195.7277,392.4554
314112,196.0482,393.0964
314368,196.3689,393.7378
314624,196.6899,394.3798
314880,197.0112,395.0224
315136,197.3327,395.6654
315392,197.6545,396.3090
315648,197.9765,396.9530
315904,198.2988,397.5977
316160,198.6214,398.2428
316416,198.9442,398.8885
316672,199.2673,399.5346
316928,199.5907,400.1813
317184,199.9143,400.8286
317440,200.2382,401.4763
317696,200.5623,402.1246
317952,200.8867,402.7734
318208,201.2114,403.4228
318464,201.5363,404.0726
318720,201.8615,404.7230
318976,202.1869,405.3739
319232,202.5127,406.0253
319488,202.8386,406.6773
319744,203.1649,407.3298
320000,203.4914,407.9828
320256,203.8181,408.6363
320512,204.1452,409.2903
320768,204.4725,409.9449
321024,204.8000,410.6000
321280,205.1278,411.2556
321536,205.4559,411.9118
321792,205.7842,412.5684
322048,206.1128,413.2256
322304,206.4417,413.8834
322560,206.7708,414.5416
322816,207.1002,415.2004
323072,207.4298,415.8597
323328,207.7597,416.5195
323584,208.0899,417.1798
323840,208.4203,417.8407
324096,208.7510,418.5021
324352,209.0820,419.1640
324608,209.4132,419.8264
324864,209.7447,420.4894
325120,210.0764,421.1529
325376,210.4084,421.8169
325632,210.7407,422.4814
325888,211.0732,423.1465
326144,211.4060,423.8121
326400,211.7391,424.4782
326656,212.0724,425.1448
326912,212.4060,425.8120
327168,212.7398,426.4796
327424,213.0739,427.1478
327680,213.4083,427.8166
327936,213.7429,428.4858
328192,214.0778,429.1556
328448,214.4130,429.8259
328704,214.7484,430.4967
328960,215.0840,431.1681
329216,215.4200,431.8400
329472,215.7562,432.5124
329728,216.0926,433.1853
329984,216.4294,433.8587
330240,216.7663,434.5327
330496,217.1036,435.2072
330752,217.4411,435.8822
331008,217.7789,436.5578
331264,218.1169,437.2338
331520,218.4552,437.9104
331776,218.7938,438.5875
332032,219.1326,439.2652
332288,219.4717,439.9434
332544,219.8110,440.6220
332800,220.1506,441.3013
333056,220.4905,441.9810
333312,220.8306,442.6613
333568,221.1710,443.3420
333824,221.5117,444.0234
334080,221.8526,444.7052
334336,222.1938,445.3876
334592,222.5352,446.0704
334848,222.8769,446.7539
335104,223.2189,447.4378
335360,223.5611,448.1222
335616,223.9036,448.8072
335872,224.2464,449.4927
336128,224.5894,450.1788
336384,224.9327,450.8653
336640,225.2762,451.5524
336896,225.6200,452.2400
337152,225.9641,452.9281
337408,226.3084,453.6168
337664,226.6530,454.3060
337920,226.9978,454.9957
