"tx size","size fee (IOV)","price increase compared to anti spam"
487936,474.1666,949.3332
488192,474.6653,950.3306
488448,475.1643,951.3286
488704,475.6636,952.3271
488960,476.1631,953.3262
489216,476.6629,954.3257
489472,477.1629,955.3258
489728,477.6632,956.3264
489984,478.1638,957.3275
490240,478.6646,958.3292
490496,479.1657,959.3314
490752,479.6670,960.3341
491008,480.1686,961.3373
491264,480.6705,962.3410
491520,481.1727,963.3453
491776,481.6751,964.3501
492032,482.1777,965.3554
492288,482.6806,966.3613
492544,483.1838,967.3676
492800,483.6873,968.3745
493056,484.1910,969.3820
493312,484.6949,970.3899
493568,485.1992,971.3984
493824,485.7037,972.4074
494080,486.2084,973.4169
494336,486.7135,974.4269
494592,487.2187,975.4375
494848,487.7243,976.4486
495104,488.2301,977.4602
495360,488.7362,978.4723
495616,489.2425,979.4850
495872,489.7491,980.4982
496128,490.2559,981.5119
496384,490.7631,982.5261
496640,491.2704,983.5409
496896,491.7781,984.5562
497152,492.2860,985.5720
497408,492.7942,986.5883
497664,493.3026,987.6052
497920,493.8113,988.6225
498176,494.3202,989.6404
498432,494.8294,990.6589
498688,495.3389,991.6778
498944,495.8487,992.6973
499200,496.3587,993.7173
499456,496.8689,994.7378
499712,497.3794,995.7589
499968,497.8902,996.7805
500224,498.4013,997.8026
500480,498.9126,998.8252
500736,499.4242,999.8483
500992,499.9360,1000.8720
501248,500.4481,1001.8962
501504,500.9605,1002.9209
501760,501.4731,1003.9462
502016,501.9860,1004.9719
502272,502.4991,1005.9982
502528,503.0125,1007.0250
502784,503.5262,1008.0524
503040,504.0401,1009.0803
503296,504.5543,1010.1086
503552,505.0688,1011.1376
503808,505.5835,1012.1670
504064,506.0985,1013.1970
504320,506.6137,1014.2275
504576,507.1292,1015.2585
504832,507.6450,1016.2900
505088,508.1610,1017.3221
505344,508.6773,1018.3546
505600,509.1939,1019.3878
505856,509.7107,1020.4214
506112,510.2278,1021.4556
506368,510.7451,1022.4902
506624,511.2627,1023.5254
506880,511.7806,1024.5612
507136,512.2987,1025.5974
507392,512.8171,1026.6342
507648,513.3358,1027.6715
507904,513.8547,1028.7093
508160,514.3738,1029.7477
508416,514.8933,1030.7866
508672,515.4130,1031.8260
508928,515.9329,1032.8659
509184,516.4532,1033.9063
509440,516.9737,1034.9473
509696,517.4944,1035.9888
509952,518.0154,1037.0308
510208,518.5367,1038.0734
510464,519.0582,1039.1165
510720,519.5800,1040.1600
510976,520.1021,1041.2042
511232,520.6244,1042.2488
511488,521.1470,1043.2940
511744,521.6698,1044.3397
512000,522.1929,1045.3859
